sample_idx,single_flip,combined_flip,single_delta,combined_delta,convergence_time_ms,confidence,recovery_action,recovery_aligned
13,True,False,0.0,0.0,13.002157211303711,0.8524590163934426,no_action,False
66,True,False,0.0,0.0,14.002323150634766,0.8163265306122449,no_action,False
74,True,False,0.029418183593749925,0.0,13.00501823425293,0.8895348837209303,no_action,False
83,True,False,0.0,0.0,12.508392333984375,0.8723404255319149,no_action,False
88,True,False,0.035794476562499955,0.0,12.893915176391602,0.875,no_action,False
91,True,False,0.061727406738281226,0.0,12.335538864135742,0.8870056497175142,no_action,False
116,True,False,0.07302964892578115,0.0,12.04061508178711,0.8317757009345794,no_action,False
117,True,False,0.0,0.0,11.999130249023438,0.8208955223880597,no_action,False
144,True,False,0.014136791992187536,0.0,12.133121490478516,0.8853503184713376,no_action,False
152,True,False,0.0,0.0,12.511491775512695,0.8582677165354331,no_action,False
166,True,False,0.0,0.0,11.0015869140625,0.8512396694214877,no_action,False
